,CCA,Centroceras sp,Dictyosphaeria sp,Dictyota hamifera,Hypnea spinella,Laurencia papillosa,Padina sp1,Polysiphonia atlantica,Pseudolithoderma extensum,Sargassum sp1,Ulva lactuca
Ve-Mi-Chi-Cor-M1,2,1,0,0,0,2,75,0,0,4,16
Ve-Mi-Chi-Cor-M2,1,0,0,0,0,0,82,0,0,0,16
Ve-Mi-Chi-Cor-M3,0,0,0,0,0,0,37,3,0,0,59
Ve-Mi-Chi-Cor-M4,0,0,0,0,0,0,9,7,0,0,84
Ve-Mi-Chi-Cor-M5,0,0,0,0,0,0,1,1,0,0,98
Ve-Mi-Chi-Cor-M6,0,0,0,0,0,0,33,0,1,0,63
Ve-Mi-Chi-Cor-M7,10,0,0,1,0,8,13,6,1,0,61
Ve-Mi-Chi-Cor-M8,6,0,1,0,1,17,23,19,1,0,32
Ve-Mi-Chi-Cor-M9,2,0,0,0,0,6,30,2,1,0,58
Ve-Mi-Chi-Cor-M10,1,0,0,0,0,0,3,4,0,0,89
