roots,sector,site,Y,X
289,EXTERNAL,1,10.9740,64.1688
290,EXTERNAL,1,10.9741,64.1689
291,EXTERNAL,1,10.9742,64.1690
292,EXTERNAL,1,10.9743,64.1691
293,EXTERNAL,1,10.9744,64.1692
294,EXTERNAL,1,10.9745,64.1693
295,EXTERNAL,1,10.9746,64.1694
296,EXTERNAL,1,10.9747,64.1695
297,EXTERNAL,2,10.9746,64.1731
298,EXTERNAL,2,10.9747,64.1732
299,EXTERNAL,2,10.9748,64.1733
300,EXTERNAL,2,10.9749,64.1734
301,EXTERNAL,2,10.9750,64.1735
302,EXTERNAL,2,10.9751,64.1736
303,EXTERNAL,2,10.9752,64.1737
304,EXTERNAL,2,10.9753,64.1738
305,EXTERNAL,3,10.9775,64.1668
306,EXTERNAL,3,10.9776,64.1669
307,EXTERNAL,3,10.9777,64.1670
308,EXTERNAL,3,10.9778,64.1671
309,EXTERNAL,3,10.9779,64.1672
310,EXTERNAL,3,10.9780,64.1673
311,EXTERNAL,3,10.9781,64.1674
312,EXTERNAL,3,10.9782,64.1675
313,EXTERNAL,4,10.9802,64.1650
314,EXTERNAL,4,10.9803,64.1651
315,EXTERNAL,4,10.9804,64.1652
316,EXTERNAL,4,10.9805,64.1653
317,EXTERNAL,4,10.9806,64.1654
318,EXTERNAL,4,10.9807,64.1655
319,EXTERNAL,4,10.9808,64.1656
320,EXTERNAL,4,10.9809,64.1657
321,INTERMEDIATE,1,10.9759,64.1450
322,INTERMEDIATE,1,10.9760,64.1451
323,INTERMEDIATE,1,10.9761,64.1452
324,INTERMEDIATE,1,10.9762,64.1453
325,INTERMEDIATE,1,10.9763,64.1454
326,INTERMEDIATE,1,10.9764,64.1455
327,INTERMEDIATE,1,10.9765,64.1456
328,INTERMEDIATE,1,10.9766,64.1457
329,INTERMEDIATE,2,10.9829,64.1509
330,INTERMEDIATE,2,10.9830,64.1510
331,INTERMEDIATE,2,10.9831,64.1511
332,INTERMEDIATE,2,10.9832,64.1512
333,INTERMEDIATE,2,10.9833,64.1513
334,INTERMEDIATE,2,10.9834,64.1514
335,INTERMEDIATE,2,10.9835,64.1515
336,INTERMEDIATE,2,10.9836,64.1516
337,INTERMEDIATE,3,10.9927,64.1580
338,INTERMEDIATE,3,10.9928,64.1581
339,INTERMEDIATE,3,10.9929,64.1582
340,INTERMEDIATE,3,10.9930,64.1583
341,INTERMEDIATE,3,10.9931,64.1584
342,INTERMEDIATE,3,10.9932,64.1585
343,INTERMEDIATE,3,10.9933,64.1586
344,INTERMEDIATE,3,10.9934,64.1587
345,INTERMEDIATE,4,10.9753,64.1448
346,INTERMEDIATE,4,10.9754,64.1449
347,INTERMEDIATE,4,10.9755,64.1450
348,INTERMEDIATE,4,10.9756,64.1451
349,INTERMEDIATE,4,10.9757,64.1452
350,INTERMEDIATE,4,10.9758,64.1453
351,INTERMEDIATE,4,10.9759,64.1454
352,INTERMEDIATE,4,10.9760,64.1455
353,INTERNAL,1,11.0011,64.1633
354,INTERNAL,1,11.0012,64.1634
355,INTERNAL,1,11.0013,64.1635
356,INTERNAL,1,11.0014,64.1636
357,INTERNAL,1,11.0015,64.1637
358,INTERNAL,1,11.0016,64.1638
359,INTERNAL,1,11.0017,64.1639
360,INTERNAL,1,11.0018,64.1640
361,INTERNAL,2,11.0031,64.1635
362,INTERNAL,2,11.0032,64.1636
363,INTERNAL,2,11.0033,64.1637
364,INTERNAL,2,11.0034,64.1638
365,INTERNAL,2,11.0035,64.1639
366,INTERNAL,2,11.0036,64.1640
367,INTERNAL,2,11.0037,64.1641
368,INTERNAL,2,11.0038,64.1642
369,INTERNAL,3,11.0048,64.1699
370,INTERNAL,3,11.0049,64.1700
371,INTERNAL,3,11.0050,64.1701
372,INTERNAL,3,11.0051,64.1702
373,INTERNAL,3,11.0052,64.1703
374,INTERNAL,3,11.0053,64.1704
375,INTERNAL,3,11.0054,64.1705
376,INTERNAL,3,11.0055,64.1706
377,INTERNAL,4,11.0015,64.1641
378,INTERNAL,4,11.0016,64.1642
379,INTERNAL,4,11.0017,64.1643
380,INTERNAL,4,11.0018,64.1644
381,INTERNAL,4,11.0019,64.1645
382,INTERNAL,4,11.0020,64.1646
383,INTERNAL,4,11.0021,64.1647
384,INTERNAL,4,11.0022,64.1648
